State,Year,Percentage of Foreign Born,Percentage of Moved In,Percentage of Renter,Mobility Index,Concentrated Disadvantaged Index,Percentage of Unemployed,Percentage of Single Parent Households,Percentage of Poverty,Heterogeneity Index,Percentage of Young Males,Percentage of Dropped Out,Percentage of Divorced,Population (logged),Less than High School,Percentage of White,Percentage of Black,Percentage of Hispanic,Percentage of Native Americans,Percentage of Internet Subscription per Household,Average Vehicle HH,Population
Kentucky,2020,4.088644406370512,13.246093936510297,28.78045097253236,-0.7083481097670041,0.1344666985899179,2.4108276046622925,10.728946098076877,7.571864143503314,0.2988893729900819,6.8774032936296,4.435158931502761,10.585962266832633,15.320239964358295,8.071335695496382,83.24919191593926,7.891919381470086,4.008074733479386,0.08665459305985984,85.37695357702862,1.8881347712003038,4502935
Kentucky,2021,4.036262965711136,12.915859647659975,27.66205392564943,-1.0226840191740536,0.3395556287260205,2.542581109568159,10.617343961578825,7.918767171310457,0.3100251468813562,6.769690118006986,4.849479977402691,10.278010748229141,15.32167333437971,8.198884373377,82.65589567023862,7.0991800672108045,3.919528876829126,0.1619286316520579,87.33581903160808,1.8860715401734462,4509394
Kentucky,2022,4.009010905722346,12.61954519968708,27.52109230083926,-1.1467213065782818,-0.6952457626514497,2.0713559130467543,10.187293566944462,7.62107093641315,0.315928465197053,6.736128501809495,5.182832882528161,10.262260350020277,15.322319775473664,7.536250833830123,82.24164563161662,7.605727443371577,4.15492286655837,0.09533919433726849,89.19876632324956,1.8792210774985236,4512310
Louisiana,2011,3.798562396553669,14.284905513552836,31.050555692051034,0.05182917499603583,6.379516580535945,4.401032080712838,14.514432765579924,10.568615124292755,0.5362806546180305,7.367105618649498,6.933659130711067,9.516581578006294,15.336081409054705,11.381850628088088,59.96763599831776,31.93087140172894,4.325094932364788,0.5737473430741561,65.71557197903653,1.665414240642057,4574836
Louisiana,2012,3.6539745708994107,13.774570595187678,32.1022674799262,0.075338998960744,6.097510615469165,4.205052138326554,14.733467754364273,10.163928133794482,0.5385898062419334,7.227438795295763,7.378015581729658,9.75316027556486,15.341978298546607,11.097389704628073,59.730810777217116,31.98933569294201,4.511969313497728,0.47999812251175766,65.71557197903653,1.6580370846183685,4601893
Louisiana,2013,3.946820539318167,13.557735754420634,31.720387333611505,-0.06648815775177125,5.381725549545109,3.779724006425293,14.219202163702318,10.017365400784307,0.5400522622297578,7.209429528242535,7.975644802645839,9.713239951831921,15.347088545387157,11.104514784443527,59.52891273751641,32.1033538213414,4.726438610562819,0.5332214888432959,65.71557197903653,1.6689272742107306,4625470
Louisiana,2014,4.178291132543429,13.400137988109279,33.42609248472367,0.19374243427259308,4.636163119286577,3.4970608704778567,13.777082215395934,9.633254452058381,0.5435534335860801,7.182694019970423,6.462296229824187,9.571312065614894,15.3523080977166,10.80726915165702,59.220750004946574,32.11075352347132,4.815152711715827,0.5048523811121464,67.3641626032916,2.608265422880071,4649676
Louisiana,2015,3.990152276178169,12.945744599766545,33.19249863618574,0.0003400077129750989,3.971089450586237,3.3304900910437008,13.456178347760641,9.37172738718045,0.5473607322961331,7.07956625139914,5.642125500840119,9.590804337828567,15.356824649748757,10.20762519900555,58.98391769669969,31.94003756162856,4.893845151201398,0.44586235453004713,69.2745530833623,1.6739833178741337,4670724
Louisiana,2016,4.0566969108859965,13.408068837033655,32.80998687219464,0.08350716312947665,4.12300467642257,3.229854500513279,13.521261319583147,9.804038933031768,0.5480166964308403,6.925440644420171,6.355126259358173,9.878769651658192,15.35916458745293,10.39027559847285,58.838050386336825,32.101777444183334,4.937729432214942,0.5194518361625968,74.6906818394457,1.6803378194224667,4681666
Louisiana,2017,4.086024627198793,12.793454265527238,32.37745907474981,-0.19944380091448755,3.460816974691157,3.023013094927282,13.256056134194298,9.399507116076409,0.5516795927238263,7.0310116723127924,5.435223679475695,9.305252209866378,15.359734094255586,9.901495047427243,58.473340815010374,32.14952907916666,5.200740425584603,0.4684124719570535,75.77966557347983,1.6887117377410812,4684333
