Year,DMA,GT MVT
2017,Eugene OR,67.03
2017,Evansville IN,32.0
2017,Fargo-Valley City ND,32.5
2017,Flint-Saginaw-Bay City MI,36.12
2017,Florence-Myrtle Beach SC,36.87
2017,Fresno-Visalia CA,62.09
2017,Ft. Myers-Naples FL,38.09
2017,Ft. Smith-Fayetteville-Springdale-Rogers AR,24.44
2017,Ft. Wayne IN,44.5
2017,Gainesville FL,35.0
2017,Grand Rapids-Kalamazoo-Battle Creek MI,27.97
2017,Green Bay-Appleton WI,21.22
2017,Greensboro-High Point-Winston Salem NC,34.03
2017,Greenville-New Bern-Washington NC,30.5
2017,Greenville-Spartanburg SC-Asheville NC-Anderson SC,38.09
2017,Harlingen-Weslaco-Brownsville-McAllen TX,23.91
2017,Harrisburg-Lancaster-Lebanon-York PA,22.59
2017,Hartford & New Haven CT,52.75
2017,Hattiesburg-Laurel MS,50.0
2017,Honolulu HI,42.34
2017,Houston TX,49.06
2017,Huntsville-Decatur (Florence) AL,31.22
2017,Indianapolis IN,40.06
2017,Jackson MS,48.25
2017,Jacksonville FL,36.69
2017,Johnstown-Altoona PA,28.0
2017,Kansas City MO,58.31
2017,Knoxville TN,28.94
2017,La Crosse-Eau Claire WI,29.5
2017,Lafayette LA,37.0
2017,Lake Charles LA,63.5
2017,Lansing MI,25.59
2017,Las Vegas NV,70.34
2017,Lexington KY,37.06
2017,Lincoln & Hastings-Kearney NE,43.94
2017,Little Rock-Pine Bluff AR,48.78
2017,Los Angeles CA,58.22
2017,Louisville KY,46.25
2017,Lubbock TX,53.0
2017,Macon GA,32.0
2017,Madison WI,26.72
2017,Medford-Klamath Falls OR,53.5
2017,Memphis TN,50.53
2017,Miami-Ft. Lauderdale FL,56.28
2017,Milwaukee WI,61.97
2017,Minneapolis-St. Paul MN,39.03
2017,Minot-Bismarck-Dickinson(Williston) ND,47.0
2017,Missoula MT,46.0
2017,Mobile AL-Pensacola (Ft. Walton Beach) FL,40.81
2017,Monterey-Salinas CA,35.38
2017,Montgomery (Selma) AL,47.5
2017,Nashville TN,44.28
2017,New Orleans LA,49.44
2017,New York NY,34.5
2017,Norfolk-Portsmouth-Newport News VA,38.09
2017,Odessa-Midland TX,47.5
2017,Oklahoma City OK,53.09
2017,Omaha NE,37.22
2017,Orlando-Daytona Beach-Melbourne FL,45.78
2017,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,30.19
2017,Palm Springs CA,63.5
2017,Panama City FL,42.0
2017,Peoria-Bloomington IL,31.62
2017,Philadelphia PA,36.72
2017,Phoenix AZ,49.91
2017,Pittsburgh PA,29.94
2017,Portland OR,61.75
2017,Portland-Auburn ME,29.62
2017,Providence RI-New Bedford MA,46.53
2017,Raleigh-Durham (Fayetteville) NC,28.81
2017,Reno NV,57.06
2017,Richmond-Petersburg VA,34.22
2017,Roanoke-Lynchburg VA,31.44
2017,Rochester MN-Mason City IA-Austin MN,44.0
2017,Rochester NY,28.16
2017,Rockford IL,32.0
2017,Sacramento-Stockton-Modesto CA,70.19
2017,Salisbury MD,37.0
2017,Salt Lake City UT,41.72
2017,San Antonio TX,43.91
2017,San Diego CA,55.56
2017,San Francisco-Oakland-San Jose CA,59.56
2017,Santa Barbara-Santa Maria-San Luis Obispo CA,33.28
2017,Savannah GA,31.5
2017,Seattle-Tacoma WA,58.19
2017,Sherman TX-Ada OK,71.5
2017,Shreveport LA,50.22
2017,Sioux Falls(Mitchell) SD,21.65
2017,South Bend-Elkhart IN,42.0
2017,Spokane WA,57.91
2017,Springfield MO,41.03
2017,Springfield-Holyoke MA,30.81
2017,St. Louis MO,51.47
2017,Syracuse NY,18.5
2017,Tallahassee FL-Thomasville GA,38.5
2017,Tampa-St. Petersburg (Sarasota) FL,46.81
2017,Terre Haute IN,80.0
2017,Toledo OH,19.97
2017,Topeka KS,43.0
2017,Traverse City-Cadillac MI,27.0
2017,Tri-Cities TN-VA,41.5
2017,Tucson (Sierra Vista) AZ,52.16
2017,Tulsa OK,44.0
2017,Tyler-Longview(Lufkin & Nacogdoches) TX,52.0
2017,Waco-Temple-Bryan TX,43.0
2017,Washington DC (Hagerstown MD),32.94
2017,West Palm Beach-Ft. Pierce FL,51.44
2017,Wichita Falls TX & Lawton OK,55.0
2017,Wichita-Hutchinson KS,50.12
2017,Wilkes Barre-Scranton PA,27.19
2017,Wilmington NC,34.5
